Customer,Occuspace
Date Range,05/01/2023 - 05/01/2024
Hour Range,6 - 23
Days of the Week,Sun - Sat
Time Interval,30min

Location,Timestamp,Date,Day of Week,Week of Year,Time,Hour of Day,Average Occupancy,Average Utilization,Peak Occupancy,Peak Utilization,Capacity,Location Path
Lower Exercise Room,05/15/2023 23:00,5/15/2023,2,20,11:00:00 PM,23,38,0.45,43,0.51,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/15/2023 23:30,5/15/2023,2,20,11:30:00 PM,23,18,0.21,41,0.48,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/16/2023 6:00,5/16/2023,3,20,6:00:00 AM,6,22,0.26,28,0.33,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/16/2023 6:30,5/16/2023,3,20,6:30:00 AM,6,35,0.41,38,0.45,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/16/2023 7:00,5/16/2023,3,20,7:00:00 AM,7,45,0.53,51,0.60,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/16/2023 7:30,5/16/2023,3,20,7:30:00 AM,7,49,0.58,56,0.66,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/16/2023 8:00,5/16/2023,3,20,8:00:00 AM,8,54,0.64,61,0.72,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/16/2023 8:30,5/16/2023,3,20,8:30:00 AM,8,45,0.53,63,0.74,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/16/2023 9:00,5/16/2023,3,20,9:00:00 AM,9,46,0.54,54,0.64,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/16/2023 9:30,5/16/2023,3,20,9:30:00 AM,9,69,0.81,75,0.88,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/16/2023 10:00,5/16/2023,3,20,10:00:00 AM,10,84,0.99,89,1.05,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/16/2023 10:30,5/16/2023,3,20,10:30:00 AM,10,85,1.00,95,1.12,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/16/2023 11:00,5/16/2023,3,20,11:00:00 AM,11,90,1.06,105,1.24,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/16/2023 11:30,5/16/2023,3,20,11:30:00 AM,11,78,0.92,91,1.07,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
Lower Exercise Room,05/16/2023 12:00,5/16/2023,3,20,12:00:00 PM,12,69,0.81,79,0.93,85,Cal Poly  > Rec Center > 1st Floor > Lower Exercise Room
